Date,Close,Open,High,Low,Volume,Change %
10/6/2020,7485.80,7375.10,7599.70,7338.00,19460,1.50%
10/7/2020,7375.10,7465.30,7557.50,7279.60,22080,-1.14%
10/8/2020,7460.00,7104.00,7527.90,7048.60,27900,5.10%
10/9/2020,7097.90,7339.60,7434.80,7062.40,26680,-3.29%
10/10/2020,7339.70,7330.80,7411.50,7220.10,16170,0.13%
10/11/2020,7330.30,7456.70,7621.70,7286.10,13810,-1.71%
10/12/2020,7458.00,7576.00,7654.10,7323.10,25870,-1.57%
10/13/2020,7576.70,7503.30,7718.00,7260.90,38860,1.09%
10/14/2020,7494.80,7978.00,8020.00,7442.10,41680,-6.05%
10/15/2020,7977.30,8399.60,8406.50,7947.20,20530,-4.96%
10/16/2020,8393.40,8523.70,8586.90,8317.70,17220,-1.53%
10/17/2020,8523.70,8230.90,8580.00,8171.50,15500,3.54%
10/18/2020,8232.30,8238.90,8400.10,8142.00,14150,-0.08%
10/19/2020,8239.00,8054.80,8276.60,7927.80,23440,2.32%
10/20/2020,8051.80,8349.70,8466.90,7986.80,25190,-3.41%
10/21/2020,8336.10,8467.00,8488.70,8103.60,32760,-1.55%
10/22/2020,8467.50,8668.50,8838.00,8420.70,26210,-2.34%
10/23/2020,8670.80,8683.80,8882.40,8279.50,37150,-0.15%
10/24/2020,8683.60,8467.00,8753.00,8320.00,22900,2.61%
10/25/2020,8462.70,8419.50,8631.60,8204.50,36660,0.60%
10/26/2020,8412.40,9015.20,9015.20,8341.80,54490,-6.72%
10/27/2020,9018.70,9320.00,9390.00,9003.00,23620,-3.21%
10/28/2020,9318.20,9180.70,9370.90,8980.10,22810,1.45%
10/29/2020,9184.70,9356.40,9469.70,9052.30,25860,-1.98%
10/30/2020,9370.00,9659.00,9675.70,9200.00,25780,-2.99%
10/31/2020,9658.70,9859.60,9963.90,9455.00,26920,-2.04%
11/1/2020,9859.60,9702.90,9990.00,9685.90,29510,1.62%
11/2/2020,9702.80,9759.00,9811.90,9557.00,24540,-0.61%
11/3/2020,9762.10,9237.90,9838.00,9162.80,36480,5.69%
11/4/2020,9236.40,9069.10,9279.80,8979.60,20180,1.87%
11/5/2020,9067.00,9240.70,9240.70,8829.10,25590,-1.87%
11/6/2020,9240.00,9400.00,9450.00,9110.70,23260,-1.69%
11/7/2020,9398.60,9340.30,9564.10,9184.60,27310,0.57%
11/8/2020,9345.30,8911.00,9436.00,8845.00,45080,4.77%
11/9/2020,8920.10,9269.70,9381.10,8902.80,30150,-3.87%
11/10/2020,9279.30,8850.10,9308.00,8656.00,43210,4.52%
11/11/2020,8878.40,9643.00,9761.50,8768.40,74490,-7.94%
11/12/2020,9644.40,8940.20,9737.90,8929.90,60350,7.88%
11/13/2020,8940.00,8791.40,8940.00,8769.90,23260,1.59%
11/14/2020,8800.00,8917.60,8979.80,8752.90,31430,-1.34%
11/15/2020,8919.10,8865.40,9029.00,8618.90,39560,0.60%
11/16/2020,8866.10,8272.80,8937.50,8219.00,50900,7.17%
11/17/2020,8272.80,8166.40,8296.80,8099.90,29210,1.30%
11/18/2020,8166.30,7888.80,8229.00,7874.70,29540,3.50%
11/19/2020,7889.90,8056.10,8169.00,7823.30,28230,-2.06%
11/20/2020,8056.20,8354.80,8415.00,7900.30,37560,-3.57%
11/21/2020,8354.10,8003.00,8426.30,7997.20,31900,4.39%
11/22/2020,8002.90,7885.80,8182.00,7820.70,26520,1.48%
11/23/2020,7885.80,7915.20,8230.00,7746.00,59910,-0.33%
11/24/2020,7912.00,6944.00,8083.70,6761.30,94570,13.95%
11/25/2020,6943.10,6839.30,6975.70,6795.00,29540,1.52%
11/26/2020,6839.30,6770.90,6890.60,6650.00,26150,1.10%
11/27/2020,6764.60,7024.00,7187.40,6611.00,75960,-3.69%
11/28/2020,7023.90,6892.60,7114.80,6883.00,29330,1.90%
11/29/2020,6892.60,6610.00,7075.40,6599.90,40610,4.27%
11/30/2020,6610.20,6767.20,6851.50,6501.10,42140,-2.29%
12/1/2020,6765.00,6785.80,6911.00,6571.90,45850,-0.31%
12/2/2020,6785.90,7403.30,7422.00,6670.00,53720,-8.37%
12/3/2020,7405.60,7073.80,7509.60,7020.00,49860,5.00%
12/4/2020,7052.70,6813.10,7121.40,6770.20,44010,3.56%
12/5/2020,6810.00,6925.40,7035.10,6432.40,54900,-1.66%
12/6/2020,6925.30,6838.10,7221.90,6782.90,68020,1.24%
12/7/2020,6840.40,7091.50,7267.30,6533.00,108250,-3.57%
12/8/2020,7094.00,7936.00,7963.90,6897.20,77410,-10.61%
12/9/2020,7936.10,7784.50,8118.00,7725.00,35080,1.95%
12/10/2020,7784.50,8128.00,8209.00,7727.00,50410,-4.12%
